,u,v,length,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,Name,traffic_id,vol_jan,vol_feb,vol_mar,vol_apr,vol_may,vol_jun,vol_jul,vol_aug,vol_sep,vol_oct,vol_nov,vol_dec,range,actual_range_jan,actual_range_feb,actual_range_mar,actual_range_apr,actual_range_may,actual_range_jun,actual_range_jul,actual_range_aug,actual_range_sep,actual_range_oct,actual_range_nov,actual_range_dec,charge_prob_jan,charge_prob_feb,charge_prob_mar,charge_prob_apr,charge_prob_may,charge_prob_jun,charge_prob_jul,charge_prob_aug,charge_prob_sep,charge_prob_oct,charge_prob_nov,charge_prob_dec,charge_cars_jan,charge_cars_feb,charge_cars_mar,charge_cars_apr,charge_cars_may,charge_cars_jun,charge_cars_jul,charge_cars_aug,charge_cars_sep,charge_cars_oct,charge_cars_nov,charge_cars_dec,new_id,Charge_Supply
10,794436,735703,11865.76308,46575,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[50.0],1,"Grønn Kontakt Hurtigladestasjon, ABB Alnabru, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
11,794436,735703,11865.76308,243290,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0]",4,Alna Senter,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
12,794436,735703,11865.76308,65319,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0]",2,"Fortum hurtigladestasjon McDonalds Grorud, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
13,794436,735703,11865.76308,69111,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[44.0, 44.0]",2,Fortum Hurtigladestasjon Tøyen,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
14,794436,735703,11865.76308,46637,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[44.0, 44.0]",2,"Fortum Hurtigladestasjon Alnabru, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
15,794436,735703,11865.76308,243309,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,Circle K Furuset E6,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
16,794436,735703,11865.76308,243226,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",6,Recharge ODI Taxi Bryn,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
17,794436,735703,11865.76308,243321,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",8,Recharge IKEA Furuset,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
18,794436,735703,11865.76308,243248,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",8,Recharge Esso Tveita,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
19,794436,735703,11865.76308,173548,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[50.0],1,Møller Bil Grorud,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
